quantified_toxicity,Formulation,Helper_lipid_ID,Comment,mRNA/Cells,Lipid_name,MolWt,Experiment_ID,Cargo_type,Model_type,Experiment_weight,unnormalized_delivery,toxicity_class,delivery_class,unnormalized_toxicity
0.95,Liu_iphos,MDOA,,5.0,7A1-P13,6.079086154535807,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,7A1-P14,6.11070651800061,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,7A1-P15,6.141357604682599,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,7A1-P16,6.171097075035644,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P4,5.903984878668844,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P5,5.941543994289965,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P6,5.977743340430821,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P7,6.01267794350718,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P8,6.0464332040682605,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P9,6.079086154535807,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P10,6.110706518000611,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P11,6.141357604682599,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P12,6.171097075035644,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P13,6.199977592616045,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P14,6.2280473852887,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P15,6.255350729793276,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,8A1-P16,6.281928371896634,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P4,6.04643320406826,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P5,6.079086154535807,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P6,6.11070651800061,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P7,6.141357604682599,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P8,6.171097075035645,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P9,6.199977592616046,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P10,6.2280473852887,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P11,6.255350729793276,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P12,6.281928371896635,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P13,6.307817892141022,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P14,6.33305402542866,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P15,6.357668941262844,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,9A1-P16,6.381692490318397,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P4,6.171097075035644,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P5,6.199977592616045,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P6,6.228047385288699,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P7,6.255350729793276,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P8,6.281928371896634,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P9,6.307817892141022,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P10,6.33305402542866,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P11,6.357668941262845,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P12,6.381692490318398,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P13,6.405152422082331,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P14,6.428074577544685,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P15,6.450483060294962,Liu_iphos,mRNA,IGROV1,0.3,3.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,10A1-P16,6.472400388864667,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,11A1-P4,6.281928371896634,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,11A1-P5,6.307817892141022,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,11A1-P6,6.333054025428659,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,11A1-P7,6.357668941262844,Liu_iphos,mRNA,IGROV1,0.3,2.0,0.0,2.0,0.95
0.95,Liu_iphos,MDOA,,5.0,11A1-P8,6.381692490318397,Liu_iphos,mRNA,IGROV1,0.3,1.0,0.0,1.0,0.95
