Formulation,Ionizable_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Ionizable_Lipid_to_mRNA_weight_ratio,Dose/Cells
Liu_iphos,25,30,30,1,MDOA,13.95181177,69.75905885
Liu_iphos,25,30,30,1,MDOA,14.20070001,71.00350005
Liu_iphos,25,30,30,1,MDOA,14.44958824,72.2479412
Liu_iphos,25,30,30,1,MDOA,14.69847648,73.4923824
Liu_iphos,25,30,30,1,MDOA,14.94736471,74.73682355
Liu_iphos,25,30,30,1,MDOA,15.19625295,75.98126475
Liu_iphos,25,30,30,1,MDOA,15.44514118,77.22570590000001
Liu_iphos,25,30,30,1,MDOA,8.986556244,44.93278122
Liu_iphos,25,30,30,1,MDOA,9.484332715,47.421663575000004
Liu_iphos,25,30,30,1,MDOA,9.982109185,49.910545925
Liu_iphos,25,30,30,1,MDOA,10.47988565,52.39942825
Liu_iphos,25,30,30,1,MDOA,10.97766213,54.88831065
Liu_iphos,25,30,30,1,MDOA,11.4754386,57.377193000000005
Liu_iphos,25,30,30,1,MDOA,11.97321507,59.86607535
Liu_iphos,25,30,30,1,MDOA,12.47099154,62.3549577
Liu_iphos,25,30,30,1,MDOA,12.96876801,64.84384005
Liu_iphos,25,30,30,1,MDOA,13.46654448,67.3327224
Liu_iphos,25,30,30,1,MDOA,13.96432095,69.82160474999999
Liu_iphos,25,30,30,1,MDOA,14.46209742,72.31048709999999
Liu_iphos,25,30,30,1,MDOA,14.95987389,74.79936945
Liu_iphos,25,30,30,1,MDOA,8.64944727,43.247236349999994
Liu_iphos,25,30,30,1,MDOA,9.14722374,45.7361187
Liu_iphos,25,30,30,1,MDOA,9.645000211,48.22500105499999
Liu_iphos,25,30,30,1,MDOA,10.14277668,50.7138834
Liu_iphos,25,30,30,1,MDOA,10.64055315,53.202765750000005
Liu_iphos,25,30,30,1,MDOA,11.13832962,55.6916481
Liu_iphos,25,30,30,1,MDOA,11.63610609,58.18053045
Liu_iphos,25,30,30,1,MDOA,12.13388256,60.6694128
Liu_iphos,25,30,30,1,MDOA,12.63165903,63.15829515
Liu_iphos,25,30,30,1,MDOA,13.1294355,65.6471775
Liu_iphos,25,30,30,1,MDOA,13.62721197,68.13605985
Liu_iphos,25,30,30,1,MDOA,14.12498844,70.62494219999999
Liu_iphos,25,30,30,1,MDOA,14.62276491,73.11382455
Liu_iphos,25,30,30,1,MDOA,9.18299466,45.9149733
Liu_iphos,25,30,30,1,MDOA,9.68077113,48.40385565
Liu_iphos,25,30,30,1,MDOA,10.1785476,50.892738
Liu_iphos,25,30,30,1,MDOA,10.67632407,53.38162035
Liu_iphos,25,30,30,1,MDOA,11.17410054,55.870502699999996
Liu_iphos,25,30,30,1,MDOA,11.67187701,58.35938505
Liu_iphos,25,30,30,1,MDOA,12.16965348,60.8482674
Liu_iphos,25,30,30,1,MDOA,12.66742995,63.33714975
Liu_iphos,25,30,30,1,MDOA,13.16520642,65.8260321
Liu_iphos,25,30,30,1,MDOA,13.66298289,68.31491445
Liu_iphos,25,30,30,1,MDOA,14.16075936,70.8037968
Liu_iphos,25,30,30,1,MDOA,14.65853583,73.29267915
Liu_iphos,25,30,30,1,MDOA,15.1563123,75.7815615
Liu_iphos,25,30,30,1,MDOA,8.934106424,44.67053212
Liu_iphos,25,30,30,1,MDOA,9.431882895,47.159414475
Liu_iphos,25,30,30,1,MDOA,9.929659365,49.648296824999996
Liu_iphos,25,30,30,1,MDOA,10.42743584,52.1371792
