Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage,Comment,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Exposure_time,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,identifier,Mol,Num tails
Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,8-a2-7b2,2.0,5.0,504.7560000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,,,
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,10.77588088,25.0,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2721",2A2-4T,2.0,6.0,,Lee_unsat,Pure,Hand,mRNA,slee,IGROV1,24,FFL,in_vitro,1.0,Lee_unsat_dendrimer,max,Individual,Cell_viability,Lee_unsat,,758.101,
Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,10-a3-6b,3.0,5.0,631.8990000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,,,
Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,15.0,Computed with aid lipid molwt as 865,5T-O14,2.0,14.0,639.1319999999998,Han_amidine,Crude,Microfluidic,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_amidine,max,Individual,Cell_viability,Han_amidine,,,
Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,11-a2-7,2.0,7.0,448.6480000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,,,
Han_a3,40.0,15.818044354838722,30.437411095305865,1.4122350000000012,DOPE,10.0,15.0,,A12-2,2.0,10.0,470.7450000000004,Han_a3,Crude,Hand,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_a3,max,Individual,Cell_viability,Han_a3,,,
Unsat_dendrimer,23.80952381,23.80952381,47.61904762,4.761904762,DOPE,19.46459718,25.0,"Total lipids/RNA 40:1; DOPE MW = 744, Chol = 387, C14-P2K = 2706",6A3-3C,6.0,6.0,,Lee_unsat,Pure,Hand,mRNA,slee,IGROV1,24,FFL,in_vitro,1.0,Lee_unsat_dendrimer,max,Individual,Cell_viability,Lee_unsat,,1948.758,
Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,6-a2-9b,2.0,8.0,532.8100000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,,,
Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,12-a2-6,2.0,6.0,492.7050000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,,,
Han_amidine,17.3,12.5,24.2,1.0,DOPE,10.0,15.0,Computed with aid lipid molwt as 865,10T-O9,2.0,9.0,486.7630000000005,Han_amidine,Crude,Microfluidic,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_amidine,max,Individual,Cell_viability,Han_amidine,,,
Han_a3,24.905844201593062,20.78763440860215,40.0,1.8559199999999991,DOPE,10.0,15.0,,B30-4,4.0,12.0,993.5659999999992,Han_a3,Crude,Hand,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_a3,max,Individual,Cell_viability,Han_a3,,,
Han_a3,40.0,16.760719086021517,32.25132548816762,1.4963970000000009,DOPE,10.0,15.0,,B20-2,2.0,12.0,498.7990000000004,Han_a3,Crude,Hand,mRNA,Han,HepG2,24,FFL,in_vitro,1.0,Han_a3,max,Individual,Cell_viability,Han_a3,,,
