smiles,quantified_delivery,unnormalized_delivery,quantified_toxicity,unnormalized_toxicity,Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage,Comment,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Exposure_time,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,Sample_weight,identifier,Mol,Num tails,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,split_name_for_normalization
CCCCCCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCCCCC)c1,,,1.0,101.07,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-6,2.0,6.0,518.7430000000006,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(C)CCCC)c1,,,1.0,104.19666666666666,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-6b,2.0,5.0,518.7430000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCCCCCC)c1,,,0.9971333333333332,99.71333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-7,2.0,7.0,546.7970000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(C)CCCCC)c1,,,0.9782,97.82,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-7b,2.0,6.0,546.7970000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)C(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)C(CC)CCCC)c1,,,1.0,102.57333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-7b2,2.0,5.0,546.7970000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCCCCCCC)c1,,,1.0,101.62,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-8,2.0,8.0,574.8510000000003,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)CCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCC(C)CCC)c1,,,0.9689,96.89,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-8b,2.0,7.0,560.8240000000003,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCCCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCCCCCCCC)c1,,,0.9444333333333335,94.44333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-9,2.0,9.0,602.9050000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)CCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCC(C)CCCCC)c1,,,0.9702333333333333,97.02333333333333,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-9b,2.0,8.0,602.9050000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)CCC(=O)Oc1cc(CNCCN2CCN(CCN)CC2)cc(OC(=O)CCC(CC)CCCC)c1,,,0.9261333333333331,92.61333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,3-a2-9b2,2.0,7.0,602.9050000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
